gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPNCRNA.6926,41.75006521535623,4.81031669424429,0.6135987779542653,7.839514788933996,4.5229069187289665e-15,1.2698023644283647e-14
SPCC1183.05C,2739.3473440184616,1.849148722741359,0.06826026682815876,27.089679086612463,1.3028331484060582e-161,3.043027641701093e-160
SPCC1183.12,153.969966990093,5.127697597718594,0.28262766764022434,18.142942764704774,1.460001488015098e-73,1.262917284227523e-72
SPCC1183.10,307.5669810444523,1.963871291581392,0.13178869411899924,14.901667435964614,3.2145594214678104e-50,1.9109845717380427e-49
SPNCRNA.1146,151.78806075722997,1.1342684548356348,0.1809887612582822,6.267065683802119,3.6791499107498554e-10,8.680711943235663e-10
SPNCRNA.1147,60.08135075995411,2.408657549287699,0.2760268029845249,8.726172687739812,2.6343632352627184e-18,8.102890761553535e-18
SPNCRNA.6942,19.614552487445906,1.1953085709745244,0.47114525972362903,2.5370276922146795,0.011179811026699604,0.01666977111284018
SPCC31H12.03C,1913.9679584139092,1.0287783942571032,0.07517700151394219,13.684748972946306,1.2523890734402354e-42,6.49618546109473e-42
SPNCRNA.6945,71.20050896841826,2.7675680689192372,0.270522499848499,10.230454289270435,1.4483833517505152e-24,5.235578648177534e-24
SPNCRNA.6946,35.32380271938907,5.381451668407769,0.6224347349945677,8.645808734396445,5.342553977182262e-18,1.6251354790082802e-17
SPNCRNA.6947,69.62858670511201,6.000538600979213,0.530790155238851,11.304916908790485,1.2407155114341115e-29,5.028252254073494e-29
SPNCRNA.6948,18.984543847971217,3.6296513721476726,0.5868287429314147,6.185196986119485,6.202496810464235e-10,1.4495750390668537e-9
SPNCRNA.6949,12.255508501614225,3.0771594333828287,0.681616596452789,4.514501919989506,6.3465747275698e-6,1.2244401747129614e-5
SPNCRNA.6950,17.91990727524935,2.77066154237422,0.5250835792589079,5.276610527955709,1.3159515512999398e-7,2.788244457057414e-7
SPCC5E4.05C,3411.8113965969624,1.734337264777514,0.06656704731366851,26.05399119785496,1.212300854124271e-149,2.4709237030188668e-148
SPCC5E4.10C,891.024130489188,1.1147497034776792,0.08197353237229875,13.59889797617634,4.065124963997135e-42,2.0920995142830976e-41
SPCC16C4.19,765.8611983110555,1.0184743894321238,0.08655057529145675,11.767390176234397,5.747517027706561e-32,2.4316576149375167e-31
SPNCRNA.1151,61.74405357213544,1.0111296708477548,0.26150803078685386,3.8665339179273297,1.1039311679041307e-4,1.9643505470053667e-4
SPCC16C4.01,1660.9078411967141,1.0205847044985363,0.07207324984600048,14.160381371441252,1.611173985036328e-45,8.837203488096432e-45
SPCC16C4.20C,861.7854756795214,1.657405686014586,0.08228242196302364,20.14288892419084,3.106755516795275e-90,3.359835509578963e-89
SPCC16C4.05,386.4553017123109,1.887751834546254,0.11894648307139198,15.870598153063682,1.0127113194050548e-56,6.647742485806352e-56
SPCC16C4.07,956.6487238792181,1.083402181705561,0.08266065505467207,13.106624681222218,3.017308799138335e-39,1.47344209482046e-38
SPCC16C4.12,2266.3764477510654,1.0786757897713632,0.060541579359320676,17.817106874092406,5.2060261725276074e-71,4.3476559897794025e-70
SPNCRNA.6973,454.7532848752423,1.6389317969504305,0.13875289878408661,11.811874283799808,3.3892069271454075e-32,1.4400785228294193e-31
SPCC16C4.16C,1148.4861916670573,1.4777207293766896,0.07355496606494391,20.09001986449107,9.022597716754062e-90,9.68681796571184e-89
SPCC16C4.17,758.521699825558,1.7065948272849656,0.08515521215357601,20.040990846304865,2.41903979226495e-89,2.580744974774913e-88
SPCPJ732.02C,5836.633315181138,2.414567863166935,0.06363485174969889,37.94411076283148,0,0
